source,target,avg_finished_duration,avg_finished_path_length,avg_rating,failure_rate,avg_unfinished_duration,avg_unfinished_path_length,difficulty_score,shortest_path_length,semantic_distance
Acceleration,Dresden,59.0,4.0,2.0,0.0,,,0.05,3.0,0.46
Acceleration,Elephant,40.0,4.0,1.0,0.0,,,0.04,3.0,0.45
Acceleration,Hydrogen,47.33,6.0,,0.25,270.0,4.0,0.11,2.0,0.34
Acceleration,Minnesota,97.5,4.5,1.0,0.0,,,0.06,3.0,0.46
Acceleration,Trout,154.75,9.25,3.75,0.2,220.0,10.0,0.15,4.0,0.46
Acceleration,Potassium_iodide,121.33,10.0,3.5,0.0,,,0.11,4.0,0.46
Acceleration,Martina_Navratilova,101.0,5.0,2.0,0.0,,,0.06,4.0,0.44
Acceleration,Mozilla_Firefox,195.73,9.09,3.0,0.31,195.2,4.8,0.18,4.0,0.52
Acceleration,Surtsey,128.33,10.0,4.0,0.0,,,0.11,4.0,0.46
Achilles,Internet,91.5,5.0,2.5,0.0,,,0.06,3.0,0.48
Achilles,Winston_Churchill,114.75,5.17,2.0,0.08,163.0,5.0,0.08,2.0,0.45
Achilles,Gold,137.0,5.75,3.0,0.2,172.0,4.0,0.12,3.0,0.47
Achilles,Nineteen_Eighty-Four,311.0,9.0,3.0,0.6,172.0,4.67,0.26,4.0,0.48
Achilles,Crocodile,42.0,4.0,,0.0,,,0.04,3.0,0.38
Achilles,Great_white_shark,213.0,13.75,3.0,0.2,50.0,4.0,0.2,4.0,0.47
Achilles,Americium,976.0,10.0,4.0,0.0,,,0.3,4.0,0.49
Achilles,History_of_Anglo-Saxon_England,106.0,5.75,1.0,0.0,,,0.07,3.0,0.49
Achilles,Bongo_(antelope),159.0,6.0,2.0,0.0,,,0.08,4.0,0.47
Achilles_tendon,Ivory,154.48,8.39,3.18,0.21,441.83,6.67,0.14,4.0,0.44
Achilles_tendon,Ocean,70.35,6.4,2.1,0.15,102.57,4.57,0.1,4.0,0.43
Achilles_tendon,Great_white_shark,149.5,10.0,2.0,0.0,,,0.11,5.0,0.31
Africa,AIDS,37.0,3.0,1.0,0.0,,,0.03,2.0,0.32
Africa,England,75.77,4.33,1.25,0.06,79.5,5.0,0.06,2.0,0.27
Africa,Mexico,36.0,4.0,1.0,0.0,,,0.04,2.0,0.32
Africa,Potato,148.0,4.6,2.0,0.17,134.0,7.0,0.1,2.0,0.46
Africa,Solar_System,21.0,3.0,1.0,0.0,,,0.03,2.0,0.46
Africa,Vietnam,46.0,4.0,,0.0,,,0.04,2.0,0.32
Africa,History,22.0,3.0,1.0,0.0,,,0.03,2.0,0.42
Africa,Sun,15.33,4.33,1.0,0.0,,,0.04,2.0,0.44
Africa,Australia,20.0,3.0,,0.0,,,0.03,2.0,0.23
Africa,Temperate,85.0,6.0,1.0,0.0,,,0.07,1.0,0.41
Africa,Sauropodomorpha,137.0,5.0,,0.0,,,0.07,3.0,0.43
Africa,Poverty,47.0,2.0,,0.0,,,0.03,1.0,0.35
Africa,Americium,108.5,5.0,2.0,0.33,56.0,4.0,0.13,3.0,0.48
Africa,Differential_equation,213.0,7.64,2.67,0.12,92.5,6.0,0.13,3.0,0.48
Africa,Hampstead_Heath,138.33,7.33,3.0,0.0,,,0.09,3.0,0.42
Africa,Lake_Mead,185.0,7.0,3.0,0.5,158.0,5.0,0.2,3.0,0.43
Africa,Pac-Man,154.0,6.0,2.0,0.5,16.0,8.0,0.18,3.0,0.45
Africa,Sleep,123.57,7.29,2.2,0.0,,,0.09,2.0,0.45
Age_of_Enlightenment,Art,41.67,4.0,,0.0,,,0.04,2.0,0.45
Age_of_Enlightenment,Kazakhstan,127.3,6.2,3.0,0.09,279.0,4.0,0.1,2.0,0.5
Age_of_Enlightenment,Joseph_Stalin,30.0,3.0,1.0,0.0,,,0.03,2.0,0.35
Age_of_Enlightenment,Francis_Bacon,138.0,4.0,2.0,0.0,,,0.06,2.0,0.31
Age_of_Enlightenment,Ice_sheet,265.0,8.0,2.0,0.0,,,0.12,3.0,0.32
Age_of_Enlightenment,Voltaire,9.0,2.0,,0.0,,,0.02,1.0,0.45
Age_of_Enlightenment,Igneous_rock,129.0,8.75,3.0,0.0,,,0.1,3.0,0.35
Age_of_Enlightenment,Last_Supper,73.0,5.0,2.0,0.5,128.0,5.0,0.16,3.0,0.31
Age_of_Enlightenment,Yeast,36.0,3.0,1.0,0.0,,,0.03,2.0,0.49
Age_of_Enlightenment,Hurricane_Andrew,86.0,5.0,2.0,0.0,,,0.06,3.0,0.32
Age_of_Enlightenment,Extrasolar_planet,107.0,5.5,1.5,0.0,,,0.07,3.0,0.36
Age_of_Enlightenment,Peace,159.0,6.0,2.0,0.0,,,0.08,3.0,0.46
Agriculture,Language,45.0,4.0,2.0,0.0,,,0.04,2.0,0.37
Agriculture,Mao_Zedong,138.33,4.67,2.0,0.0,,,0.07,3.0,0.45
Agriculture,Ornithischia,149.0,8.0,4.0,0.0,,,0.1,3.0,0.45
Agriculture,Famine,28.0,3.0,1.0,0.0,,,0.03,2.0,0.35
Agriculture,Barley,12.0,2.0,,0.0,,,0.02,1.0,0.36
Agriculture,Kiev,62.67,5.0,1.0,0.0,,,0.05,3.0,0.46
Agriculture,Sparrow,182.18,7.91,2.5,0.15,147.5,6.5,0.14,3.0,0.46
Agriculture,Tropical_Storm_Delta_(2005),341.0,7.0,,0.0,,,0.13,4.0,0.43
AIDS,Africa,6.0,2.0,1.0,0.0,,,0.02,1.0,0.32
AIDS,Film,22.0,4.0,2.0,0.0,,,0.04,2.0,0.39
